,,,RA +RA -RA,CLR or OVC,Diverse,0 or 5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,y coord,x coord,Weather ICON,Center Circle ICON,Weather Barb Direction,Wind Bard Slashes ICON,Wind Red Slashes ICON,Right Bottom,Right Middle,Right Top,Left Bottom,Left Middle,Left Top & Label,Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_text,latitude ,longitude,wx_string,sky_cover (Center Circle),"wind_dir_degrees (Degrees -> Radians, Direction)","wind_speed_kt (Wind Bar, round to 5,10,15,20,25)","wind_gust_kt (Wind Bar, round to 5,10,15,20,25)",station_id (White Text Black Highlight),cloud_base_ft_ag (Ceiling),altim_in_hg (Altimeter),dewpoint_c (Blue Font),visibility_statute_mi (Left Middle),temp_c (Left Top),flight_category,State,Wind Gust Actual,Wind Speed Actual,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,,,,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
EHLW 270055Z AUTO 26004KT 9999 BKN096 OVC110 05/04 Q1031 BLU,33.17,-86.3,,BKN,0,0,0,KSCD,6500,30.180119,6.6,10,10,VFR,Alabama,,0,TRUE,,,,,,,,,,OVC,11000,,,,,,,,,,,,,,,,,METAR,2
EHGR 270055Z AUTO 28003KT 240V310 9999 OVC046 06/05 Q1032 BLU,32.43,-86.52,,BKN,0,0,0,K1A9,5000,30.171259,7.1,10,10.4,VFR,Alabama,,0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,13
EHDL 270055Z AUTO 00000KT 6000 R20/1800D BR BKN010 BKN013 OVC360 01/00 Q1031 GRN,33.57,-86.25,,CLR,0,0,0,KPLR,,30.188976,8,10,8,VFR,Alabama,,0,TRUE,,,,,,,,,,BKN,1300,OVC,36000,,,,,,,,,,,,,,,METAR,52
YHID 270055Z AUTO 31009KT 5000 -SHRA SCT012 BKN055 OVC066 27/25 Q1012,33.57,-86.05,,CLR,0,0,0,KASN,,30.180119,7.6,10,11.6,VFR,Alabama,,0,TRUE,,,,,,,,,,BKN,5500,OVC,6600,,,,,,,,,,,,,,,SPECI,13
KAIK 270055Z AUTO 05008KT 10SM SCT080 11/05 A3022 RMK AO2,34.27,-86.85,,CLR,0,0,0,KCMD,,30.239174,-1.7,10,10.2,VFR,Alabama,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,161
